word	ottoman	notes
evet	اوت	
hayır	خیر	
sen	سن	
bana	بڭا	
tamam	تمام	
onu	اوڭی	
seni	سنی	
beni	بنی	
benim	بنم	
sana	سڭا	
senin	سنڭ	
öyle	أویله	
hadi	هایدی	
yani	یعنی	
biraz	براز	
ona	اوڭا	
lütfen	لطفًا	
bak	باق	
peki	پكی	
biliyorum	بیلییورم	
onun	اونڭ	
kim	كیم	
gerçekten	گرچكدن	
istiyorum	ایستییورم	
belki	بلكه	
olur	اولور	
eğer	اگر	
buraya	بورایه	
tanrım	طاڭریم	
şeyi	شیئی	
adam	آدم	
teşekkürler	تشكّرلر	
bilmiyorum	بیلمییورم	
hey	هی	
demek	دیمك	
gerek	گرك	
sanırım	صانیرم	
merhaba	مرحبا	
nerede	نرەدە	
sorun	صورون	
orada	اورادە	
ederim	ایدرم	
harika	خارقه	
biliyor	بیلییور	
efendim	افندیم	
tabii	طبیعی	
şeyler	شیلر	
yüzden	یوزدن	
üzgünüm	أوزگونم	
işte	ایشته	
olabilir	اولابیلیر	
hemen	همن	
gel	گل	
onları	اونلری	
siz	سز	
selam	سلام	
oluyor	اولویور	
bize	بزە	
bayan	بایان	
anne	آننه	
size	سزە	
bizi	بزی	
kız	قیز	
ver	ویر	
bence	بنجە	
lazım	لازم	
vardı	واردی	
dur	طور	
baba	بابا	
özür	عذر	
kimse	كیمسە	
değilim	دگلم	
git	گیت	
seninle	سنڭلە	
asla	اصلا	
yoksa	یوقسە	
aslında	اصلندە	
sizi	سزی	
benimle	بنملە	
olmaz	اولماز	
dostum	دوستم	
herkes	هركس	
hep	هپ	
biliyorsun	بیلییورسڭ	
emin	امین	
zaten	ذاتًا	
onunla	اونڭلە	
yapıyorsun	یاپییورسڭ	
eve	اوە	
istiyorsun	ایستییورسڭ	
bakalım	باقالم	
dakika	دقیقە	
sağ	صاغ	
ister	ایستر	
dilerim	دیلرم	
onlar	اونلر	
bekle	بكلە	
niye	نیە	
bırak	بیراق	
gidelim	گیدەلم	
şunu	شونی	
yere	یرە	
neler	نەلر	
nereye	نرەیە	
istemiyorum	ایستەمییورم	
pekala	پك اعلی	
burası	بوراسی	
hepsi	هپسی	
zor	زور	
olmalı	اولملی	
buradan	بورادن	
kendini	كندینی	
lanet	لعنت	
ise	ایسە	
benden	بندن	
çocuklar	چوجقلر	
sizin	سزڭ	
yapmak	یاپمق	
nedir	نەدر	
işi	ایشی	
haydi	هایدی	
aman	آمان	
kesinlikle	كسینلكلە	
kaç	قاچ	
seviyorum	سوییورم	
dinle	دیڭلە	
falan	فلان	
bunlar	بونلر	
görmek	گورمك	
tane	دانە	
istiyor	ایستییور	
dedim	دیدم	
yapma	یاپمە	
hoş	خوش	
yanlış	یاڭلیش	
gidip	گیدوب	
senden	سندن	
bundan	بوندن	
yemek	ییمك	
yarın	یارین	
onlara	اونلرە	
yalan	یالان	
oraya	اورایە	
ondan	اوندن	
elbette	البتە	
birini	برینی	
nereden	نرەدن	
yerde	یردە	
mutlu	موتلو	
tatlım	طاتلیم	
geç	گچ	
beri	بری	
eminim	امینم	
merak	مراق	
doktor	دوقتور	
babam	بابام	
gördüm	گوردم	
değildi	دگلدی	
gitti	گیتدی	
insanlar	انسانلر	
görüşürüz	گوروشورز	
yalnız	یالڭز	
bakın	باقین	
ihtiyacım	احتیاجم	
yaptım	یاپدم	
edin	ایدڭ	
sakin	ساكن	
fark	فرق	
ettim	ایتدم	
dışarı	طیشاری	
gidiyor	گیدییور	
sence	سنجە	
erkek	اركك	
umarım	اومارم	
değilsin	دگلسین	
siktir	سِكْتِرْ	
nefret	نفرت	
ölmüş	اولمش	
neyse	نەیسە	
akşam	آقشام	
annem	آننەم	
sanki	صانكە	
sabah	صباح	
yaptın	یاپدڭ	
gördün	گوردڭ	
yeter	یتر	
olursa	اولورسە	
olduğumu	اولدیغمی	
aptal	آبدال	
yüzünden	یوزندن	
kendimi	كندیمی	
olamaz	اولاماز	
kendine	كندینە	
bunları	بونلری	
aldım	آلدم	
yoktu	یوقدی	
söyledim	سویلەدم	
kolay	قولای	
geldim	گلدم	
olsa	اولسە	
hangi	هانگی	
çabuk	چابوق	
görünüyor	گورونویور	
bitti	بیتدی	
buldum	بولدم	
istediğim	ایستەدیگم	
anlıyorum	آڭلییورم	
istedim	ایستەدم	
bazen	بعضًا	
vardır	واردر	
yapıyor	یاپییور	
muhtemelen	محتملاً	
başına	باشنە	
oldum	اولدم	
cevap	جواب	
tanrı	طاڭری	
konuşmak	قونوشمق	
kahretsin	قهر ایتسین	
adamı	آدمی	
yardımcı	یاردیمجی	
olun	اولون	
almak	آلمق	
düşündüm	دوشوندم	
hayatta	حیاتدە	
anladım	آڭلادم	
oldukça	اولدقجە	
zamanı	زمانی	
azından	آزندن	
işin	ایشڭ	
oğlum	اوغلم	
canım	جانم	
gitmek	گیتمك	
neredeyse	نرەدەیسە	
duydum	دویدم	
aç	آچ	
bende	بندە	
eder	ایدر	
adamın	آدمڭ	
söylemek	سویلەمك	
konuda	قونودە	
şuru	سورو	
galiba	غالبا	
saniye	ثانیە	
geldin	گلدڭ	
hepimiz	هپمز	
ateş	آتش	
arada	آرادە	
çalışıyorum	چالیشییورم	
içeri	ایچری	
göz	گوز	
aynen	عینًا	
kardeşim	قرداشم	
söyledi	سویلەدی	
israil	اسرائیل	
arasında	آراسندە	
abd	عبد	
uluslararası	اولوسلر آراس	
olduğu	اولدیغی	
ab	آب	
tüm	توم	
yaptığı	یاپدیغی	
yapılan	یاپیلان	
açıklamada	آچیقلامه دە	
ilk	ایلك	
genel	گنل	
ancak	آنجق	
şekilde	شكلدە	
önemli	أونملی	
yönelik	یوڭلیك	
sonra	صوڭرە	
üzere	أوزرە	
ardından	آردندن	
avrupa	آوروپه	
milyon	میلیون	
değil	دگل	
hem	هم	
eden	ایدن	
ifade	افاده	
birlikte	برلكدە	
diğer	دیگر	
ne	نه	
oldu	اولدی	
aynı	عین	
cumhurbaşkanı	جمهورباشقانی	
fazla	فضله	
bakanı	باقانی	
siyasi	سیاسی	
çin	چین	
olmak	اولمق	
özel	أوزل	
önce	أوڭجه	
ayrıca	آیریجه	
devlet	دولت	
türk	تورك	
güvenlik	گوگنلك	
konusunda	قونوسندە	
belirtti	بلیرتدی	
edildi	ایدیلدی	
gazze	غزّە	
sağlık	صاغلق	
içinde	ایچندە	
kabul	قبول	
var	وار	
ediyor	ایدییور	
gelen	گلن	
ülke	أولكه	
şu	شو	
yüksek	یوكسك	
sosyal	صوسیال	
kişi	كیشی	
ilişkin	ایلیشكین	
sırp	صیرب	
sırbistan	صیربستان	
sadece	سادەجه	
belediye	بلدیه	
yeniden	یڭیدن	
yaklaşık	یاقلاشیق	
alan	آلان	
ülkenin	أولكه ڭڭ	
eski	اسكی	
iş	ایش	
gün	گون	
kullandı	قوللاندی	
veya	ویا	
sahip	صاحب	
trump	ترمپ	
bazı	بعض	
geçen	گچن	
ekonomik	اكونومیك	
ya	یا	
başkan	باشقان	
nedeniyle	نه دنیله	
iyi	ایی	
bulundu	بولوندی	
o	او	
destek	دستك	
kosova	قوصوە	
kapsamında	قاپسامندە	
dünya	دنیا	
yol	یول	
yılında	ییلندە	
bugün	بوگون	
üzerine	أوزرینه	
yerine	یرینه	
bulunan	بولونان	
dışişleri	طیش ایشلری	
bunun	بونڭ	
yardım	یاردیم	
verdi	ویردی	
üzerinde	أوزرندە	
polis	پولیس	
eğitim	اگیتیم	
zaman	زمان	
tek	تك	
savaş	صاواش	
aldı	آلدی	
konusu	قونوسی	
erdoğan	ارطوغان	
parti	پارتی	
verdiği	ویردیگی	
edilen	ایدیلن	
ortak	اورتاق	
hava	هوا	
bm	بم	
geldi	گلدی	
şöyle	شویله	
düzenlenen	دوزنلنن	
olacak	اولاجق	
